2017-10-20 09:51:31, faile - C:\wamp64\www\Edvinas\php\errors\index.php, eiluteje - 18, Undefined variable: a
2017-10-20 10:40:26, faile - C:\wamp64\www\Edvinas\php\errors\index.php, eiluteje - 21, Undefined variable: a
2017-10-20 11:14:04, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 70, Undefined variable: errors
2017-10-20 11:14:05, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 70, Undefined variable: errors
2017-10-20 11:14:12, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 70, Undefined variable: errors
2017-10-20 11:15:08, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 70, Undefined variable: errors
2017-10-20 11:15:10, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 70, Undefined variable: errors
2017-10-20 11:15:13, faile - C:\wamp64\www\Edvinas\php\errors\new.php, eiluteje - 69, Undefined variable: errors
2017-10-20 11:16:11, faile - C:\wamp64\www\Edvinas\php\errors\new2.php, eiluteje - 17, Undefined variable: errors
2017-10-20 11:16:17, faile - C:\wamp64\www\Edvinas\php\errors\new2.php, eiluteje - 17, Undefined variable: errors
2017-10-20 11:16:25, faile - C:\wamp64\www\Edvinas\php\errors\new2.php, eiluteje - 17, Undefined variable: error
